Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
1,Walmart,2200000,-,Retail Company,"Walmart Inc. Is An American Multinational Retail Corporation That Operates A Chain Of Hypermarkets, Discount Department Stores, And Grocery Stores, Headquartered In Bentonville, Arkansas.","$523,964",1.90%,"$14,881.00",123.10%,"$236,495","$321,803"
2,Amazon.com,798000,3,E-commerce Company,"Amazon.com, Inc. Is An American Multinational Technology Company Based In Seattle, Washington, Which Focuses On E-commerce, Cloud Computing, Digital Streaming, And Artificial Intelligence.","$280,522",20.50%,"$11,588.00",15.00%,"$225,248","$970,680"
3,Exxon Mobil,74900,-1,Corporation,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products.","$264,938",-8.70%,"$14,340.00",-31.20%,"$362,597","$160,696"
4,Apple,137000,-1,Technology Company,"Apple Inc. Is An American Multinational Technology Company Headquartered In Cupertino, California, That Designs, Develops And Sells Consumer Electronics, Computer Software, And Online Services.","$260,174",-2.00%,"$55,256.00",-7.20%,"$338,516","$1,112,641"
5,Cvs Health,290000,3,Healthcare Company,"Cvs Health Is An American Healthcare Company That Owns Cvs Pharmacy, A Retail Pharmacy Chain; Cvs Caremark, A Pharmacy Benefits Manager; Aetna, A Health Insurance Provider, Among Many Other Brands. The Company's Headquarter Is In Woonsocket, Rhode Island.","$256,776",32.00%,"$6,634.00",-,"$222,449","$77,376"
6,Berkshire Hathaway,391500,-2,Multinational Conglomerate Company,"Berkshire Hathaway Is An American Multinational Conglomerate Holding Company Headquartered In Omaha, Nebraska, United States.","$254,616",2.70%,"$81,417.00",1924.80%,"$817,729","$442,897"
7,Unitedhealth Group,325000,-1,Managed Care Company,"Unitedhealth Group Incorporated Is An American For-profit Managed Health Care Company Based In Minnetonka, Minnesota. It Offers Health Care Products And Insurance Services. In 2019, It Was The Second-largest Healthcare Company By Revenue With $242.2 Billion, And The Largest Insurance Company By Net Premiums.","$242,155",7.00%,"$13,839.00",15.50%,"$173,889","$236,555"
8,Mckesson,70000,-1,Health Care Company,"Mckesson Corporation Is An American Company Distributing Pharmaceuticals And Providing Health Information Technology, Medical Supplies, And Care Management Tools. The Company Had Revenues Of $231.1 Billion In 2020.","$214,319",2.90%,$34.00,-49.30%,"$59,672","$21,845"
9,At&t,247800,-,Telecommunications Company,"At&t Inc. Is An American Multinational Conglomerate Holding Company, Delaware-registered But Headquartered At Whitacre Tower In Downtown Dallas, Texas.","$181,193",6.10%,"$13,903.00",-28.20%,"$551,669","$209,388"
10,Amerisourcebergen,21500,-,Wholesale Company,Amerisourcebergen Corporation Is An American Drug Wholesale Company That Was Formed By The Merger Of Bergen Brunswig And Amerisource In 2001. They Provide Drug Distribution And Related Services Designed To Reduce Costs And Improve Patient Outcomes.,"$179,589",6.90%,$855.40,-48.40%,"$39,172","$18,221"
11,Alphabet,118899,4,Information Technology And Services,"Alphabet Inc. Is An American Multinational Conglomerate Headquartered In Mountain View, California. It Was Created Through A Restructuring Of Google On October 2, 2015,[2] And Became The Parent Company Of Google And Several Former Google Subsidiaries.the Two Co-founders Of Google Remained As Controlling Shareholders, Board Members, And Employees At Alphabet. Alphabet Is The World's Fourth-largest Technology Company By Revenue And One Of The World's Most Valuable Companies.","$161,857",18.30%,"$34,343.00",11.70%,"$275,909","$798,905"
12,Ford Motor,190000,-,Automaker Company,"Ford Motor Company, Commonly Known As Ford, Is An American Multinational Automaker That Has Its Main Headquarters In Dearborn, Michigan, A Suburb Of Detroit. It Was Founded By Henry Ford And Incorporated On June 16, 1903.","$155,900",-2.80%,$47.00,-98.70%,"$258,537","$19,151"
13,Cigna,73700,52,Insurance Company,"Cigna Is An American Worldwide Health Services Organization Based In Bloomfield, Connecticut. Its Insurance Subsidiaries Are Major Providers Of Medical, Dental, Disability, Life And Accident Insurance And Related Products And Services, The Majority Of Which Are Offered Through Employers And Other Groups.","$153,566",215.70%,"$5,104.00",93.60%,"$155,774","$65,897"
14,Costco Wholesale,201500,-,Retail Company,Costco Wholesale Corporation Is An American Multinational Corporation Which Operates A Chain Of Membership-only Warehouse Clubs.,"$152,703",7.90%,"$3,659.00",16.80%,"$45,400","$125,908"
15,Chevron,48200,-4,Oil Industry Company,"Chevron Corporation Is An American Multinational Energy Corporation. One Of The Successor Companies Of Standard Oil, It Is Headquartered In San Ramon, California, And Active In More Than 180 Countries.","$146,516",-11.90%,"$2,924.00",-80.30%,"$237,428","$136,176"
16,Cardinal Health,49500,-,Health Care Company,"Cardinal Health, Inc. Is An American Multinational Health Care Services Company, And The 14th Highest Revenue Generating Company In The United States. Its Headquarters Are Based In Dublin, Ohio And Dublin, Ireland.","$145,534",6.40%,"$1,363.00",432.40%,"$40,963","$13,988"
17,Jpmorgan Chase,256981,1,Investment Banking Company,"Jpmorgan Chase & Co. Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In New York City. Jpmorgan Chase Is Ranked By S&p Global As The Largest Bank In The United States And The Seventh Largest Bank In The World By Total Assets, With Total Assets Of Us$3.213 Trillion.","$142,422",8.40%,"$36,431.00",12.20%,"$2,687,379","$276,750"
18,General Motors,164000,-5,Vehicle Manufacturer,"General Motors Company Is An American Multinational Corporation Headquartered In Detroit That Designs, Manufactures, Markets, And Distributes Vehicles And Vehicle Parts, And Sells Financial Services, With Global Headquarters In Detroit's Renaissance Center.","$137,237",-6.70%,"$6,732.00",-16.00%,"$228,037","$29,695"
19,Walgreens Boots Alliance,287000,-2,Retail Company,"Walgreens Boots Alliance, Inc. Is An American Holding Company Headquartered In Deerfield, Illinois, That Owns Walgreens, Boots, And A Number Of Pharmaceutical Manufacturing, Wholesale, And Distribution Companies.","$136,866",4.10%,"$3,982.00",-20.70%,"$67,598","$40,528"
20,Verizon Communications,135000,-1,Telecommunications Company,"Verizon Communications Inc. Is An American Multinational Telecommunications Conglomerate And A Corporate Component Of The Dow Jones Industrial Average. The Company Is Based At 1095 Avenue Of The Americas In Midtown Manhattan, New York City, But Is Incorporated In Delaware.","$131,868",0.80%,"$19,265.00",24.10%,"$291,727","$222,220"
21,Microsoft,144000,5,Technology Company,"Microsoft Corporation Is An American Multinational Technology Company With Headquarters In Redmond, Washington. It Develops, Manufactures, Licenses, Supports, And Sells Computer Software, Consumer Electronics, Personal Computers, And Related Services.","$125,843",14.00%,"$39,240.00",136.80%,"$286,556","$1,199,550"
22,Marathon Petroleum,60910,9,Petroleum Refining Company,"Marathon Petroleum Corporation Is An American Petroleum Refining, Marketing, And Transportation Company Headquartered In Findlay, Ohio. The Company Was A Wholly Owned Subsidiary Of Marathon Oil Until A Corporate Spin-off In 2011.","$124,813",28.50%,"$2,637.00",-5.10%,"$98,556","$15,353"
23,Kroger,435000,-3,Retail Company,"The Kroger Company, Or Simply Kroger, Is An American Retail Company Founded By Bernard Kroger In 1883 In Cincinnati, Ohio. It Is The United States' Largest Supermarket By Revenue, And The Second-largest General Retailer.","$122,286",0.90%,"$1,659.00",-46.70%,"$45,256","$24,114"
24,Fannie Mae,7500,-2,Mortgage Loan Company,"The Federal National Mortgage Association, Commonly Known As Fannie Mae, Is A United States Government-sponsored Enterprise And, Since 1968, A Publicly Traded Company.","$120,304",0.20%,"$14,160.00",-11.30%,"$3,503,319","$1,841"
