Company,Revenues,Profits,Employees,Sector,Industry
Hess,5405,-4074,2075,Energy,"Mining, Crude-Oil Production"
Host Hotels & Resorts,5387,564,205,Financials,Real estate
Kelly Services,5374,71.6,7800,Business Services,Temporary Help
Genesis Healthcare,5374,-579,68700,Health Care,Health Care: Medical Facilities
Michaels Cos.,5362,390.5,30500,Retailing,Specialty Retailers: Other
Advanced Micro Devices,5329,43,8900,Technology,Semiconductors and Other Electronic Components
Zoetis,5307,864,9200,Health Care,Pharmaceuticals
Williams-Sonoma,5292,259.5,19350,Retailing,Specialty Retailers: Other
Fortune Brands Home & Security,5283,472.6,23870,Household Products,"Home Equipment, Furnishings"
Big Lots,5271,189.8,22900,Retailing,Specialty Retailers: Other
Robert Half International,5267,290.6,17200,Business Services,Temporary Help
Post Holdings,5226,48.3,11410,"Food, Beverages & Tobacco",Food Consumer Products
Hasbro,5210,396.6,5400,Household Products,"Toys, Sporting Goods"
Hanover Insurance Group,5184,186.2,4600,Financials,Insurance: Property and Casualty (Stock)
Navient,5179,292,6700,Financials,Diversified Financials
Intuit,5177,971,8200,Technology,Computer Software
Domtar,5157,-258,10000,Materials,Forest and Paper Products
Marathon Oil,5153,-5723,2300,Energy,"Mining, Crude-Oil Production"
Cerner,5142,867,26000,Health Care,Health Care: Pharmacy and Other Services
Analog Devices,5108,727.3,15300,Technology,Semiconductors and Other Electronic Components
Telephone & Data Systems,5044,153,9900,Telecommunications,Telecommunications
Essendant,5037,-267,6400,Wholesalers,Wholesalers: Electronics and Office Equipment
Sonoco Products,5037,175.3,21000,Materials,"Packaging, Containers"
Juniper Networks,5027,306.2,9381,Technology,Network and Other Communications Equipment
Commercial Metals,4999,46.3,8797,Materials,Metals
CSRA,4993,304,18500,Technology,Information Technology Services
Under Armour,4977,-48.3,11350,Apparel,Apparel
RPM International,4958,181.8,14318,Chemicals,Chemicals
Total System Services,4928,586.2,11800,Business Services,Financial Data Services
Levi Strauss,4904,281.4,13800,Apparel,Apparel
Brunswick,4898,146.4,15116,Transportation,Transportation Equipment
YRC Worldwide,4891,-10.8,32000,Transportation,"Trucking, Truck Leasing"
Mattel,4882,-1053.8,28000,Household Products,"Toys, Sporting Goods"
FM Global,4875,254.1,5441,Financials,Insurance: Property and Casualty (Stock)
NiSource,4875,128.5,8175,Energy,Utilities: Gas and Electric
Caesars Entertainment,4852,-375,65000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Electronic Arts,4845,967,8800,Technology,Entertainment
Dynegy,4842,76,2489,Energy,Energy
McCormick,4834,477.4,11700,"Food, Beverages & Tobacco",Food Consumer Products
T. Rowe Price,4793,1497.8,6881,Financials,Securities
Orbital ATK,4764,310,13900,Aerospace & Defense,Aerospace and Defense
Tutor Perini,4757,148.4,10061,Engineering & Construction,"Engineering, Construction"
Brookdale Senior Living,4747,-571.4,62550,Health Care,Health Care: Medical Facilities
Huntington Bancshares,4740,1186,15770,Financials,Commercial Banks
Wayfair,4721,-244.6,7751,Technology,Internet Services and Retailing
Rush Enterprises,4714,172.1,6825,Retailing,"Automotive Retailing, Services"
Xylem,4707,331,16200,Industrials,Industrial Machinery
Neiman Marcus Group,4706,-531.8,13700,Retailing,Specialty Retailers: Apparel
Hyatt Hotels,4685,249,45000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Sprouts Farmers Market,4665,158.4,27000,Food &  Drug Stores,Food and Drug Stores
Diebold Nixdorf,4609,-233.1,23000,Technology,"Computers, Office Equipment"
Roper Technologies,4608,971.8,14236,Technology,"Scientific,Photographic and  Control Equipment"
Smart & Final Stores,4571,-138.9,7570,Food &  Drug Stores,Food and Drug Stores
CommScope Holding,4561,193.8,20000,Technology,Network and Other Communications Equipment
Tapestry,4488.3,591,12450,Apparel,Apparel
Diplomat Pharmacy,4485,15.5,2298,Health Care,Health Care: Pharmacy and Other Services
Chipotle Mexican Grill,4476,176.3,68890,"Hotels, Restaurants & Leisure",Food Services
Agilent Technologies,4472,684,13500,Technology,"Scientific,Photographic and  Control Equipment"
Science Applications International,4454,179,15391,Technology,Information Technology Services
MDU Resources Group,4444,281.2,10140,Energy,Energy
Select Medical Holdings,4444,177.2,36050,Health Care,Health Care: Medical Facilities
Boise Cascade,4432,83,6370,Wholesalers,Wholesalers: Diversified
National General Holdings,4431,105.8,7570,Financials,Insurance: Property and Casualty (Stock)
SCANA,4407,-119,5228,Energy,Utilities: Gas and Electric
Graphic Packaging Holding,4404,300.2,13000,Materials,"Packaging, Containers"
Fastenal,4391,578.6,20565,Wholesalers,Wholesalers: Diversified
Schneider National,4384,389.9,19600,Transportation,"Trucking, Truck Leasing"
Laureate Education,4378,91.5,54500,Business Services,Education
Beacon Roofing Supply,4377,100.9,5406,Wholesalers,Wholesalers: Diversified
KB Home,4369,180.6,1915,Engineering & Construction,Homebuilders
Equinix,4368,233,7273,Financials,Real estate
Terex,4363,128.7,10700,Industrials,Construction and Farm Machinery
Crown Castle International,4356,444.6,4500,Financials,Real estate
CACI International,4355,163.7,18600,Technology,Information Technology Services
Watsco,4342,208.2,5200,Wholesalers,Wholesalers: Diversified
Coca-Cola Bottling,4324,96.5,15500,"Food, Beverages & Tobacco",Beverages
Welltower,4317,522.8,392,Financials,Real estate
ADT,4316,342.6,18000,Business Services,Diversified Outsourcing Services
Ametek,4300,681.5,16900,Technology,"Scientific,Photographic and  Control Equipment"
CNO Financial Group,4297,175.6,3300,Financials,"Insurance: Life, Health (stock)"
Camping World Holdings,4285,28.4,10227,Retailing,"Automotive Retailing, Services"
LPL Financial Holdings,4282,238.9,3736,Financials,Securities
Noble Energy,4256,-1118,2277,Energy,"Mining, Crude-Oil Production"
Bloomin Brands,4213,100.2,94000,"Hotels, Restaurants & Leisure",Food Services
Moodys,4204,1000.6,11896,Business Services,Financial Data Services
Symantec,4191,-106,13000,Technology,Computer Software
Amkor Technology,4187,260.7,29300,Technology,Semiconductors and Other Electronic Components
Skechers U.S.A.,4181,179.2,8150,Apparel,Apparel
KBR,4171,434,20000,Engineering & Construction,"Engineering, Construction"
Tiffany,4170,370.1,13100,Retailing,Specialty Retailers: Other
Torchmark,4156,1454.5,3102,Financials,"Insurance: Life, Health (stock)"
Broadridge Financial Solutions,4143,326.8,10000,Business Services,Financial Data Services
Quad/Graphics,4131.4,107.2,21100,Media,"Publishing, Printing"
CF Industries Holdings,4130,357.7,2950,Chemicals,Chemicals
Carlisle,4090,365.5,14800,Materials,"Building Materials, Glass"
Silgan Holdings,4090,269.7,12515,Materials,"Packaging, Containers"
Bemis,4046,94,16582,Materials,"Packaging, Containers"
CA,4036,775,11800,Technology,Computer Software
Hub Group,4035,135.2,4377,Transportation,Transportation and Logistics
Worldpay,4027,130.1,3560,Business Services,Financial Data Services
Ingles Markets,4003,53.9,17250,Food &  Drug Stores,Food and Drug Stores
Snap-on,4000,557.7,12600,Industrials,Industrial Machinery
Dentsply Sirona,3993,-1550,16100,Health Care,Medical Products and Equipment
Calumet Specialty Products,3992,-103.8,1600,Energy,Petroleum Refining
Global Payments,3975,468.4,10000,Business Services,Financial Data Services
Encompass Health,3971.4,256.3,30935,Health Care,Health Care: Medical Facilities
Martin Marietta Materials,3966,713.3,8406,Materials,"Building Materials, Glass"
Nasdaq,3965,734,4734,Financials,Securities
Leggett & Platt,3944,292.6,22200,Household Products,"Home Equipment, Furnishings"
Universal Forest Products,3941,119.5,10000,Materials,"Building Materials, Glass"
Sally Beauty Holdings,3938,215.1,21755,Retailing,Specialty Retailers: Other
Flowers Foods,3921,150.1,9800,"Food, Beverages & Tobacco",Food Consumer Products
Barnes & Noble,3895,22,18592,Retailing,Specialty Retailers: Other
American Equity Investment Life,3892,174.6,515,Financials,"Insurance: Life, Health (stock)"
Vulcan Materials,3890,601.2,8287,Materials,"Building Materials, Glass"
Taylor Morrison Home,3885,91.2,1800,Engineering & Construction,Homebuilders
Westinghouse Air Brake,3882,262.3,18000,Industrials,Industrial Machinery
Crestwood Equity Partners,3881,-191.9,954,Energy,Energy
Iron Mountain,3846,183.8,24000,Business Services,Diversified Outsourcing Services
Lennox International,3840,305.7,11450,Industrials,Industrial Machinery
General Cable,3837,-56.6,8500,Industrials,"Electronics, Electrical Equip."
American Eagle Outfitters,3796,204.2,24100,Retailing,Specialty Retailers: Apparel
Church & Dwight,3776,743.4,4700,Household Products,Household and Personal Products
Platform Specialty Products,3776,-296.2,7850,Chemicals,Chemicals
JELD-WEN Holding,3764,10.8,21000,Materials,"Building Materials, Glass"
OneMain Holdings,3756,183,10100,Financials,Diversified Financials
Colfax,3737,151.1,14300,Industrials,Industrial Machinery
Zebra Technologies,3722,17,7000,Industrials,"Electronics, Electrical Equip."
Andersons,3686,42.5,1819,"Food, Beverages & Tobacco",Food Production
TD Ameritrade Holding,3685,872,10412,Financials,Securities
Carlyle Group,3676,244.1,1600,Financials,Securities
Hubbell,3669,243.1,17700,Industrials,"Electronics, Electrical Equip."
Trinity Industries,3663,702.5,15605,Transportation,Transportation Equipment
Darling Ingredients,3662,128.5,9800,"Food, Beverages & Tobacco",Food Production
Flowserve,3661,2.7,17000,Industrials,Industrial Machinery
Antero Resources,3656,615.1,593,Energy,"Mining, Crude-Oil Production"
Skyworks Solutions,3651,1010.2,8400,Technology,Semiconductors and Other Electronic Components
Landstar System,3649,177.1,1273,Transportation,"Trucking, Truck Leasing"
Buckeye Partners,3648,478.8,1870,Energy,Pipelines
MRC Global,3646,50,3580,Energy,"Oil and Gas Equipment, Services"
CME Group,3645,4063.4,2830,Financials,Securities
Greif,3638,118.6,13000,Materials,"Packaging, Containers"
Nexeo Solutions,3637,14.4,2640,Wholesalers,Wholesalers: Diversified
Cooper-Standard Holdings,3618,135.3,32000,Motor Vehicles & Parts,Motor Vehicles and Parts
Urban Outfitters,3616,108.3,16330,Retailing,Specialty Retailers: Apparel
LSC Communications,3603,-57,24000,Media,"Publishing, Printing"
Sabre,3599,242.5,9000,Technology,Internet Services and Retailing
Green Plains,3596,61.1,1427,Energy,Energy
Hexion,3591,-234,4300,Chemicals,Chemicals
Stericycle,3581,42.4,23200,Business Services,Waste Management
Warner Music Group,3576,143,4520,Media,Entertainment
Ventas,3574,1356.5,493,Financials,Real estate
ScanSource,3568,69.2,2000,Wholesalers,Wholesalers: Electronics and Office Equipment
Pinnacle West Capital,3565,488.5,6292,Energy,Utilities: Gas and Electric
Scripps Networks Interactive,3562,623.9,3600,Media,Entertainment
Alexion Pharmaceuticals,3551,443.3,2525,Health Care,Pharmaceuticals
Pitney Bowes,3550,261.3,14700,Technology,"Computers, Office Equipment"
CIT Group,3545,468.2,4167,Financials,Commercial Banks
Country Financial,3542,187.3,3834,Financials,Insurance: Property and Casualty (Mutual)
CUNA Mutual Group,3541,303.2,3300,Financials,"Insurance: Life, Health (stock)"
