Business_Name,Business_location,IS_SOCIAL_EQUITY_BUSINESS,Latitude,Longitude
Absolutely Herbal,"824 E 17TH ST, LOS ANGELES, CA 90021",No,34.02834256,-118.2550249
California Cannabis Soto,"1601 S SOTO ST, LOS ANGELES, CA 90023",No,34.020876,-118.220294
California Cnnabis Crenshaw,"7415 S CRENSHAW BLVD, LOS ANGELES, CA 90043",No,33.9288014,-118.3262837
California Cnnabis Melrose,"654 N MANHATTAN PL, LOS ANGELES, CA 90004",No,34.0829807,-118.3101047
Cana Harbor,"1227 W 253RD ST, HARBOR CITY, CA 90710",No,33.79480933,-118.2979956
Cannasseurs Club,"11307 W VANOWEN ST, LOS ANGELES, CA 91605",No,34.1940262,-118.5490212
Catalyst Cannabis - Florence,"316 W FLORENCE AVE, LOS ANGELES, CA 90003",Yes,33.97459086,-118.2787133
Catalyst Cannabis - Normandie,"8300 S Normandie AVE, LOS ANGELES, CA 90044",Yes,34.0799259,-118.3004586
CBDelRey,"4568 S CENTINELA AVE, LOS ANGELES, CA 90066",Yes,33.9772904,-118.372534
Circle of Hope Alliance,"8311 N BALBOA BLVD, LOS ANGELES, CA 91325",No,34.2071547,-118.5013675
City Compassionate Caregivers,"2235 E 7TH ST, LOS ANGELES, CA 90023",No,34.0348948,-118.2236067
Club 78,"18441 W VANOWEN ST, RESEDA, CA 91335",No,34.1940262,-118.5490212
Cornerstone Wellness,"2551 W COLORADO BLVD, LOS ANGELES, CA 90041",No,34.1394367,-118.2009866
Divine Wellness Center,"7246 ETON AVE, LOS ANGELES, CA 91303",No,34.20189476,-118.5953649
Dr. Greenthumbs,"5494 W CENTINELA AVE, LOS ANGELES, CA 90045",Yes,33.9769772,-118.3765688
Elevate,"10401 S AVALON BLVD, LOS ANGELES, CA 90003",Yes,33.9271817,-118.2651897
Elevate Dispensary Los Angeles,"8018 W 3RD ST, LOS ANGELES, CA 90048",No,34.0718595,-118.3645321
ERBA,"12320 W PICO BLVD, LOS ANGELES, CA 90064",No,34.0282796,-118.4522239
Euphoric,"10655 W PICO BLVD, LOS ANGELES, CA 90064",No,34.04263957,-118.4235919
EVOLV CANNABIS,"25937 S WESTERN AVE, HARBOR CITY, CA 90717",No,33.78726715,-118.3078796
Exclusive,"6200 S WILTON PL, LOS ANGELES, CA 90047",No,33.983238,-118.314739
Exhalence LA,"10467 ROSCOE BLVD, SUN VALLEY, CA 91352",No,34.2216153,-118.3901711
Exotix,"738 N HIGHLAND AVE, LOS ANGELES, CA 90038",Yes,34.08419094,-118.3384856
Firehaus,"2000 S Sepulveda Blvd, Los Angeles, CA 90025",No,34.0498808,-118.4462393
Foreign Los Angeles,"2329 W PICO BLVD, LOS ANGELES, CA 90006",Yes,34.04735582,-118.2872735
Goat Global,"2522 S CENTRAL AVE, LOS ANGELES, CA 90011",Yes,34.01903023,-118.2547159
"GRATEFUL MEDS, INC.","547 S SEATON ST, LOS ANGELES, CA 90013",No,34.0408789,-118.2372607
"Green Aid Recovery Group, Inc.","5359 E VALLEY BLVD, LOS ANGELES, CA 90032",No,34.0734152,-118.170466
Green Earth Collective,"4801 E YORK BLVD, LOS ANGELES, CA 90042",No,34.1163483,-118.1851567
Green Goddess Collective,"1716 N MAIN ST, VENICE, CA 90291",No,33.9890272,-118.4718187
Greenwolf Cannabis Dispensary,"5400 S BROADWAY, LOS ANGELES, CA 90037",Yes,33.993183,-118.278203
Happy Green Dispensary,"748 S VERMONT AVE, LOS ANGELES, CA 90005",Yes,34.05845567,-118.2915297
HCMA,"11826 SHELDON ST, SUN VALLEY, CA 91352",No,34.2326197,-118.4028705
HerbNJoy,"850 S ROBERTSON BLVD, LOS ANGELES, CA 90035",Yes,34.06171092,-118.3834627
Highway Cannabis Co Los Angeles,"8151 W 3RD ST, LOS ANGELES, CA 90048",No,34.072363,-118.367
ILLA CANNA,"4324 W JEFFERSON BLVD, LOS ANGELES, CA 90016",Yes,34.02546827,-118.3431989
iLyfted Noho,"11669 W VANOWEN ST, LOS ANGELES, CA 91605",No,34.1940262,-118.5490212
iLyfted Panorama City,"8979 WOODMAN AVE, LOS ANGELES, CA 91331",Yes,34.23246339,-118.4384047
Imperia Holdings LLC,"7677 W SUNSET BLVD, LOS ANGELES, CA 90046",Yes,34.0982418,-118.35697
Jungle Boys,"3650 E OLYMPIC BLVD, LOS ANGELES, CA 90023",No,34.01873411,-118.1989231
Kind Center,"1944 N CAHUENGA BLVD, LOS ANGELES, CA 90068",No,34.10635333,-118.3305644
Kush Pharm,"16770 W STAGG ST, VAN NUYS, CA 91406",No,34.2120812,-118.4683919
La Brea Collective,"5057 W PICO BLVD, LOS ANGELES, CA 90019",No,34.0481207,-118.347901
LA Cannabis Co,"3791 S 2ND AVE, LOS ANGELES, CA 90018",No,34.0292448,-118.3187493
