id,Stabr,Area_name,Urban_Code,PCTPOVALL_2020
01001,AL,Autauga County,2,11.2
01003,AL,Baldwin County,3,8.9
01005,AL,Barbour County,6,25.5
01007,AL,Bibb County,1,17.8
01009,AL,Blount County,1,13.1
01011,AL,Bullock County,6,30.8
01013,AL,Butler County,6,20.6
01015,AL,Calhoun County,3,14.5
01017,AL,Chambers County,6,16.3
01019,AL,Cherokee County,6,14.7
01021,AL,Chilton County,1,13.9
01023,AL,Choctaw County,9,20.4
01025,AL,Clarke County,7,19.5
01027,AL,Clay County,9,14.2
01029,AL,Cleburne County,8,14.2
01031,AL,Coffee County,4,13.9
01033,AL,Colbert County,3,14.4
01035,AL,Conecuh County,7,22.9
01037,AL,Coosa County,8,17.4
01039,AL,Covington County,6,17.1
01041,AL,Crenshaw County,8,16.8
01043,AL,Cullman County,4,12.5
01045,AL,Dale County,4,15.5
01047,AL,Dallas County,4,26.7
01049,AL,DeKalb County,6,15.2
01051,AL,Elmore County,2,11.5
01053,AL,Escambia County,6,20.4
01055,AL,Etowah County,3,15.6
01057,AL,Fayette County,6,16.5
01059,AL,Franklin County,6,17.2
01061,AL,Geneva County,3,21.0
01063,AL,Greene County,8,27.9
01065,AL,Hale County,3,21.9
01067,AL,Henry County,3,16.2
01069,AL,Houston County,3,14.8
01071,AL,Jackson County,6,15.3
01073,AL,Jefferson County,1,14.4
01075,AL,Lamar County,8,17.4
01077,AL,Lauderdale County,3,13.9
01079,AL,Lawrence County,3,15.4
01081,AL,Lee County,3,17.9
01083,AL,Limestone County,2,10.4
01085,AL,Lowndes County,2,21.9
01087,AL,Macon County,6,27.9
01089,AL,Madison County,2,10.5
01091,AL,Marengo County,7,18.3
01093,AL,Marion County,7,16.8
01095,AL,Marshall County,4,15.4
01097,AL,Mobile County,2,17.6
01099,AL,Monroe County,7,22.5
01101,AL,Montgomery County,2,20.4
01103,AL,Morgan County,3,14.4
01105,AL,Perry County,8,30.7
01107,AL,Pickens County,3,22.7
01109,AL,Pike County,6,19.7
01111,AL,Randolph County,6,17.5
01113,AL,Russell County,2,20.3
01115,AL,St. Clair County,1,10.5
01117,AL,Shelby County,1,7.0
01119,AL,Sumter County,8,29.2
01121,AL,Talladega County,4,16.9
01123,AL,Tallapoosa County,6,15.2
01125,AL,Tuscaloosa County,3,14.4
01127,AL,Walker County,1,16.4
01129,AL,Washington County,8,17.5
01131,AL,Wilcox County,9,22.2
01133,AL,Winston County,6,17.4
02013,AK,Aleutians East Borough,9,15.1
02016,AK,Aleutians West Census Area,9,8.1
02020,AK,Anchorage Borough,2,8.3
02050,AK,Bethel Census Area,7,25.3
02060,AK,Bristol Bay Borough,9,10.7
02068,AK,Denali Borough,8,6.4
02070,AK,Dillingham Census Area,9,18.7
02090,AK,Fairbanks North Star Borough,3,7.2
02100,AK,Haines Borough,9,9.6
02105,AK,Hoonah-Angoon Census Area,9,12.7
02110,AK,Juneau Borough,5,8.1
02122,AK,Kenai Peninsula Borough,7,10.6
02130,AK,Ketchikan Gateway Borough,7,8.3
02150,AK,Kodiak Island Borough,7,7.5
02158,AK,Kusilvak Census Area,9,27.9
02164,AK,Lake and Peninsula Borough,9,17.6
02170,AK,Matanuska-Susitna Borough,2,8.7
02180,AK,Nome Census Area,7,18.8
02185,AK,North Slope Borough,7,11.1
02188,AK,Northwest Arctic Borough,7,18.5
02195,AK,Petersburg Borough,9,7.4
02198,AK,Prince of Wales-Hyder Census Area,9,15.9
02220,AK,Sitka Borough,7,7.4
02230,AK,Skagway Municipality,9,3.8
02240,AK,Southeast Fairbanks Census Area,9,11.7
02275,AK,Wrangell City and Borough,9,10.6
02282,AK,Yakutat Borough,9,12.4
02290,AK,Yukon-Koyukuk Census Area,9,20.5
04001,AZ,Apache County,6,32.4
04003,AZ,Cochise County,3,14.6
04005,AZ,Coconino County,3,17.2
04007,AZ,Gila County,4,16.7
04009,AZ,Graham County,7,15.2
04011,AZ,Greenlee County,7,8.4
04012,AZ,La Paz County,6,20.8
04013,AZ,Maricopa County,1,11.6
04015,AZ,Mohave County,3,15.3
04017,AZ,Navajo County,4,23.3
04019,AZ,Pima County,2,14.9
04021,AZ,Pinal County,1,11.1
04023,AZ,Santa Cruz County,4,16.8
04025,AZ,Yavapai County,3,10.8
04027,AZ,Yuma County,3,15.2
05001,AR,Arkansas County,6,17.2
05003,AR,Ashley County,7,17.1
05005,AR,Baxter County,7,14.4
05007,AR,Benton County,2,9.1
05009,AR,Boone County,7,14.1
05011,AR,Bradley County,7,20.6
05013,AR,Calhoun County,9,16.2
05015,AR,Carroll County,6,14.1
05017,AR,Chicot County,7,26.8
05019,AR,Clark County,7,20.1
05021,AR,Clay County,7,18.1
05023,AR,Cleburne County,6,14.5
05025,AR,Cleveland County,3,13.8
05027,AR,Columbia County,7,18.3
05029,AR,Conway County,6,15.8
05031,AR,Craighead County,3,16.8
05033,AR,Crawford County,2,14.4
05035,AR,Crittenden County,1,22.9
05037,AR,Cross County,6,21.2
05039,AR,Dallas County,6,19.5
05041,AR,Desha County,6,22.8
05043,AR,Drew County,6,18.4
05045,AR,Faulkner County,2,12.0
05047,AR,Franklin County,6,15.3
05049,AR,Fulton County,9,17.0
05051,AR,Garland County,3,15.7
05053,AR,Grant County,2,9.9
05055,AR,Greene County,4,17.1
05057,AR,Hempstead County,6,18.7
05059,AR,Hot Spring County,6,14.9
05061,AR,Howard County,6,16.7
05063,AR,Independence County,7,15.0
05065,AR,Izard County,9,20.1
05067,AR,Jackson County,6,23.1
05069,AR,Jefferson County,3,18.9
05071,AR,Johnson County,7,17.3
05073,AR,Lafayette County,8,19.8
05075,AR,Lawrence County,6,19.2
05077,AR,Lee County,7,36.8
05079,AR,Lincoln County,3,23.6
05081,AR,Little River County,3,16.2
05083,AR,Logan County,6,15.8
05085,AR,Lonoke County,2,10.9
05087,AR,Madison County,2,16.9
05089,AR,Marion County,9,19.1
05091,AR,Miller County,3,19.2
05093,AR,Mississippi County,4,21.0
05095,AR,Monroe County,7,23.8
05097,AR,Montgomery County,8,18.8
05099,AR,Nevada County,7,19.1
05101,AR,Newton County,9,18.7
05103,AR,Ouachita County,7,20.5
05105,AR,Perry County,2,14.7
05107,AR,Phillips County,6,22.1
05109,AR,Pike County,9,18.6
05111,AR,Poinsett County,3,21.2
05113,AR,Polk County,7,18.1
05115,AR,Pope County,5,14.1
05117,AR,Prairie County,8,14.5
05119,AR,Pulaski County,2,15.3
05121,AR,Randolph County,7,16.3
05123,AR,St. Francis County,6,30.1
05125,AR,Saline County,2,8.2
05127,AR,Scott County,6,17.5
05129,AR,Searcy County,9,22.3
05131,AR,Sebastian County,2,16.8
05133,AR,Sevier County,6,16.7
05135,AR,Sharp County,7,18.1
05137,AR,Stone County,9,20.1
05139,AR,Union County,7,16.9
05141,AR,Van Buren County,8,16.4
05143,AR,Washington County,2,13.2
05145,AR,White County,4,14.8
05147,AR,Woodruff County,9,22.6
05149,AR,Yell County,6,14.3
06001,CA,Alameda County,1,8.6
06003,CA,Alpine County,8,14.3
06005,CA,Amador County,6,10.3
06007,CA,Butte County,3,17.3
06009,CA,Calaveras County,6,11.6
06011,CA,Colusa County,6,10.3
06013,CA,Contra Costa County,1,7.2
06015,CA,Del Norte County,7,18.5
06017,CA,El Dorado County,1,8.4
06019,CA,Fresno County,2,17.1
06021,CA,Glenn County,6,12.4
06023,CA,Humboldt County,5,15.8
06025,CA,Imperial County,3,18.1
06027,CA,Inyo County,7,10.9
06029,CA,Kern County,2,18.3
06031,CA,Kings County,3,14.5
06033,CA,Lake County,4,15.9
06035,CA,Lassen County,7,15.5
06037,CA,Los Angeles County,1,13.2
06039,CA,Madera County,3,14.1
06041,CA,Marin County,1,6.0
06043,CA,Mariposa County,8,13.3
06045,CA,Mendocino County,4,14.3
06047,CA,Merced County,2,16.3
06049,CA,Modoc County,6,17.9
06051,CA,Mono County,7,9.0
06053,CA,Monterey County,2,11.6
06055,CA,Napa County,3,7.9
06057,CA,Nevada County,4,9.2
06059,CA,Orange County,1,9.0
06061,CA,Placer County,1,6.5
06063,CA,Plumas County,7,13.5
06065,CA,Riverside County,1,11.2
06067,CA,Sacramento County,1,12.5
06069,CA,San Benito County,1,7.9
06071,CA,San Bernardino County,1,14.3
06073,CA,San Diego County,1,9.5
06075,CA,San Francisco County,1,10.0
06077,CA,San Joaquin County,2,13.9
06079,CA,San Luis Obispo County,2,10.6
06081,CA,San Mateo County,1,5.5
06083,CA,Santa Barbara County,2,10.5
06085,CA,Santa Clara County,1,6.6
06087,CA,Santa Cruz County,2,10.7
06089,CA,Shasta County,3,13.9
06091,CA,Sierra County,8,11.5
06093,CA,Siskiyou County,6,14.3
06095,CA,Solano County,2,9.3
06097,CA,Sonoma County,2,7.8
06099,CA,Stanislaus County,2,13.0
06101,CA,Sutter County,3,11.5
06103,CA,Tehama County,4,13.3
06105,CA,Trinity County,8,18.0
06107,CA,Tulare County,2,17.1
06109,CA,Tuolumne County,4,12.1
06111,CA,Ventura County,2,9.1
06113,CA,Yolo County,1,14.8
06115,CA,Yuba County,3,16.3
08001,CO,Adams County,1,9.4
08003,CO,Alamosa County,7,16.7
08005,CO,Arapahoe County,1,7.0
08007,CO,Archuleta County,7,9.4
08009,CO,Baca County,9,16.9
08011,CO,Bent County,7,26.6
08013,CO,Boulder County,2,9.5
08014,CO,Broomfield County,1,4.2
08015,CO,Chaffee County,7,9.6
08017,CO,Cheyenne County,9,12.3
08019,CO,Clear Creek County,1,7.3
08021,CO,Conejos County,9,17.6
08023,CO,Costilla County,9,21.8
08025,CO,Crowley County,8,37.2
08027,CO,Custer County,8,12.2
08029,CO,Delta County,6,12.1
08031,CO,Denver County,1,12.4
08033,CO,Dolores County,9,12.5
