X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.426073055681,34.2629719661489,673,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Pacoima School",13456 Van Nuys Blvd.,,Pacoima,CA,"SITE HOURS: Monday through Friday, 7:30am to 4:45pm. ","FAX (818) 834-2793,  Service/Intake (818) 834-2632",www.seacharter.org/,,,909,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",91331,http://egis3.lacounty.gov/lms/?p=909,publish,34.262972,-118.426073,2013/06/01 11:50:56+00,,,6432933.09070639,1918353.63436948
-118.281633056302,34.0587839670916,676,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Girls Academy School",2503 W. 7th St.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 3:50pm. ","FAX (213) 480-0943,  Service/Intake (213) 480-0952",www.seacharter.org/,,,910,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90057,http://egis3.lacounty.gov/lms/?p=910,publish,34.058784,-118.281633,2013/06/01 11:50:56+00,,,6476367.05305089,1843892.52476181
-118.161598756283,34.0360016970288,679,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. -  East Los Angeles School",4822 Gleason St,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:00pm. ","FAX (323) 264-1121, School Service/Intake (323) 264-7996",www.seacharter.org/,,,911,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90022,http://egis3.lacounty.gov/lms/?p=911,publish,34.03600173,-118.1615987,2013/06/01 11:50:56+00,,,6512710.63882814,1835521.46571656
-118.193366056223,33.7987559672168,683,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Long Beach School",2290 Pacific Ave.,,Long Beach,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","Service/Intake (562) 595-9100,  FAX (562) 595-9177",www.seacharter.org/,,,913,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90806,http://egis3.lacounty.gov/lms/?p=913,publish,33.798756,-118.193366,2013/06/01 11:50:56+00,,,6502919.99732022,1749199.42576256
-118.079912056447,33.9120889676815,686,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Norwalk School",11859 Firestone Blvd.,,Norwalk,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","FAX (562) 462-1079,  Service/Intake (562) 462-1070",www.seacharter.org/,,,914,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90650,http://egis3.lacounty.gov/lms/?p=914,publish,33.912089,-118.079912,2013/06/01 11:50:56+00,,,6537423.46899556,1790397.2777499
-118.257386056747,34.0128859665115,689,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - South Central School",1037 E. 34th St.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","FAX (323) 233-2489,  Service/Intake (323) 233-9119",www.seacharter.org/,,,915,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90011,http://egis3.lacounty.gov/lms/?p=915,publish,34.012886,-118.257386,2013/06/01 11:50:56+00,,,6483668.39343506,1827169.69928364
-118.240487056774,33.9610879668535,692,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Firestone School",1785 E. 85th St.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","FAX (323) 589-7403,  Service/Intake (323) 589-8017",www.seacharter.org/,,,917,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90001,http://egis3.lacounty.gov/lms/?p=917,publish,33.961088,-118.240487,2013/06/01 11:50:56+00,,,6488744.59948997,1808306.69895197
-118.294033056659,33.9598989669379,695,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Manchester School",1100 W. Manchester Blvd.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm. ","FAX (323) 750-7337,  Service/Intake (323) 789-5760",www.seacharter.org/,,,919,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90044,http://egis3.lacounty.gov/lms/?p=919,publish,33.959899,-118.294033,2013/06/01 11:50:56+00,,,6472505.98596989,1807917.17020348
-117.73567905729,34.0636839674427,699,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Pomona School",581 N. Claremont Pl.,,Pomona,CA,,"FAX (909) 469-1869,  Service/Intake (909) 469-1867",www.seacharter.org/,,,920,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",91767,http://egis3.lacounty.gov/lms/?p=920,publish,34.063684,-117.735679,2013/06/01 11:50:56+00,,,6641725.32896097,1845661.49169631
-118.137646056775,34.0182509673369,703,211,,Education,Private and Charter Schools,,,"Soledad Enrichment Action, Inc. - Montebello School",715 Brady Ave.,,Montebello,CA,,"FAX (323) 722-1535,  Service/Intake (323) 722-1551",www.seacharter.org/,,,921,"The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",90022,http://egis3.lacounty.gov/lms/?p=921,publish,34.018251,-118.137646,2013/06/01 11:50:56+00,,,6519958.75720589,1829050.82577072
